ejecutable;numPatrones;freq;tiempo
./booyer_moore_5;100;0;0.145783
./booyer_moore_5;100;0;0.143254
./booyer_moore_5;100;0;0.142769
./booyer_moore_5;100;0;0.145699
./booyer_moore_5;100;0;0.144995
./booyer_moore_5;100;0;0.075258
./booyer_moore_5;100;2;0.0776017
./booyer_moore_5;100;0;0.0775774
./booyer_moore_5;100;0;0.0861075
./booyer_moore_5;100;1;0.104288
./booyer_moore_5;100;0;0.104204
./booyer_moore_5;100;1;0.0937199
./booyer_moore_5;100;0;0.0889371
./booyer_moore_5;100;0;0.0895551
./booyer_moore_5;100;0;0.0962169
./booyer_moore_5;100;0;0.143135
./booyer_moore_5;100;0;0.146682
./booyer_moore_5;100;0;0.16187
./booyer_moore_5;100;0;0.143766
./booyer_moore_5;100;0;0.173296
./booyer_moore_5;100;0;0.103475
./booyer_moore_5;100;0;0.11022
./booyer_moore_5;100;0;0.11021
./booyer_moore_5;100;0;0.107537
./booyer_moore_5;100;1;0.110684
./booyer_moore_5;100;0;0.136574
./booyer_moore_5;100;0;0.168062
./booyer_moore_5;100;0;0.122738
./booyer_moore_5;100;0;0.128676
./booyer_moore_5;100;1;0.13339
./booyer_moore_5;100;0;0.153108
./booyer_moore_5;100;0;0.14817
./booyer_moore_5;100;0;0.151945
./booyer_moore_5;100;0;0.167689
./booyer_moore_5;100;0;0.166281
./booyer_moore_5;100;0;0.138757
./booyer_moore_5;100;0;0.146407
./booyer_moore_5;100;0;0.127568
./booyer_moore_5;100;0;0.136739
./booyer_moore_5;100;0;0.128445
./booyer_moore_5;100;0;0.105129
./booyer_moore_5;100;0;0.110422
./booyer_moore_5;100;0;0.111153
./booyer_moore_5;100;0;0.107711
./booyer_moore_5;100;0;0.106863
./booyer_moore_5;100;186;0.184657
./booyer_moore_5;100;99;0.197269
./booyer_moore_5;100;202;0.192035
./booyer_moore_5;100;142;0.177233
./booyer_moore_5;100;98;0.178697
./booyer_moore_5;100;0;0.0890215
./booyer_moore_5;100;0;0.0993386
./booyer_moore_5;100;0;0.097506
./booyer_moore_5;100;0;0.0980991
./booyer_moore_5;100;0;0.0955573
./booyer_moore_5;100;0;0.0857291
./booyer_moore_5;100;0;0.0880995
./booyer_moore_5;100;0;0.0851745
./booyer_moore_5;100;0;0.0874134
./booyer_moore_5;100;0;0.0878586
./booyer_moore_5;100;0;0.0678049
./booyer_moore_5;100;0;0.0631166
./booyer_moore_5;100;0;0.0672143
./booyer_moore_5;100;0;0.0603233
./booyer_moore_5;100;0;0.067607
./booyer_moore_5;100;0;0.136602
./booyer_moore_5;100;0;0.132309
./booyer_moore_5;100;0;0.136994
./booyer_moore_5;100;2;0.143526
./booyer_moore_5;100;3;0.1361
./booyer_moore_5;100;1;0.0721191
./booyer_moore_5;100;0;0.0732804
./booyer_moore_5;100;0;0.072237
./booyer_moore_5;100;0;0.0688996
./booyer_moore_5;100;0;0.073282
./booyer_moore_5;100;0;0.127143
./booyer_moore_5;100;0;0.136801
./booyer_moore_5;100;0;0.128804
./booyer_moore_5;100;0;0.124892
./booyer_moore_5;100;0;0.143552
./booyer_moore_5;100;0;0.138527
./booyer_moore_5;100;0;0.127828
./booyer_moore_5;100;0;0.133295
./booyer_moore_5;100;0;0.119957
./booyer_moore_5;100;0;0.133171
./booyer_moore_5;100;10;0.115597
./booyer_moore_5;100;3;0.121849
./booyer_moore_5;100;3;0.119785
./booyer_moore_5;100;9;0.124217
./booyer_moore_5;100;4;0.117035
./booyer_moore_5;100;0;0.124307
./booyer_moore_5;100;0;0.124711
./booyer_moore_5;100;0;0.133433
./booyer_moore_5;100;0;0.122695
./booyer_moore_5;100;0;0.131278
./booyer_moore_5;100;7;0.145783
./booyer_moore_5;100;13;0.170831
./booyer_moore_5;100;7;0.152498
./booyer_moore_5;100;9;0.154851
./booyer_moore_5;100;5;0.161688
./booyer_moore_5;100;28;0.145886
./booyer_moore_5;100;50;0.16392
./booyer_moore_5;100;37;0.164831
./booyer_moore_5;100;47;0.147644
./booyer_moore_5;100;35;0.152875
./booyer_moore_5;100;0;0.179753
./booyer_moore_5;100;0;0.195591
./booyer_moore_5;100;0;0.188827
./booyer_moore_5;100;1;0.189268
./booyer_moore_5;100;0;0.194469
./booyer_moore_5;100;123;0.115109
./booyer_moore_5;100;210;0.128864
./booyer_moore_5;100;157;0.122668
./booyer_moore_5;100;150;0.13431
./booyer_moore_5;100;179;0.124668
./booyer_moore_5;100;37;0.202084
./booyer_moore_5;100;16;0.196598
./booyer_moore_5;100;30;0.198681
./booyer_moore_5;100;42;0.197362
./booyer_moore_5;100;30;0.187493
./booyer_moore_5;100;0;0.124236
./booyer_moore_5;100;0;0.11963
./booyer_moore_5;100;0;0.119596
./booyer_moore_5;100;0;0.131102
./booyer_moore_5;100;0;0.123035
./booyer_moore_5;100;0;0.184419
./booyer_moore_5;100;1;0.173558
./booyer_moore_5;100;2;0.174898
./booyer_moore_5;100;0;0.172933
./booyer_moore_5;100;1;0.173785
./booyer_moore_5;100;1;0.120249
./booyer_moore_5;100;0;0.124028
./booyer_moore_5;100;2;0.139434
./booyer_moore_5;100;0;0.111707
./booyer_moore_5;100;0;0.124414
./booyer_moore_5;100;1;0.08736
./booyer_moore_5;100;2;0.0920755
./booyer_moore_5;100;3;0.0903641
./booyer_moore_5;100;2;0.0923288
./booyer_moore_5;100;4;0.0915349
./booyer_moore_5;100;0;0.0953584
./booyer_moore_5;100;0;0.125223
./booyer_moore_5;100;0;0.115829
./booyer_moore_5;100;0;0.103968
./booyer_moore_5;100;1;0.098978
./booyer_moore_5;100;0;0.145286
./booyer_moore_5;100;1;0.158246
./booyer_moore_5;100;0;0.158371
./booyer_moore_5;100;2;0.131139
./booyer_moore_5;100;1;0.138742
./booyer_moore_5;100;4;0.104621
./booyer_moore_5;100;3;0.107767
./booyer_moore_5;100;8;0.0908818
./booyer_moore_5;100;3;0.0943258
./booyer_moore_5;100;1;0.0962284
./booyer_moore_5;100;0;0.148863
./booyer_moore_5;100;0;0.154233
./booyer_moore_5;100;0;0.16344
./booyer_moore_5;100;1;0.163761
./booyer_moore_5;100;0;0.144444
./booyer_moore_5;100;120;0.0896937
./booyer_moore_5;100;72;0.0861197
./booyer_moore_5;100;139;0.090501
./booyer_moore_5;100;99;0.0908023
./booyer_moore_5;100;74;0.0978274
./booyer_moore_5;100;26;0.183435
./booyer_moore_5;100;36;0.190639
./booyer_moore_5;100;27;0.178081
./booyer_moore_5;100;24;0.182463
./booyer_moore_5;100;34;0.184058
./booyer_moore_5;100;50;0.109627
./booyer_moore_5;100;34;0.108773
./booyer_moore_5;100;42;0.105564
./booyer_moore_5;100;40;0.114366
./booyer_moore_5;100;23;0.113352
./booyer_moore_5;100;159;0.107662
./booyer_moore_5;100;208;0.121299
./booyer_moore_5;100;170;0.119928
./booyer_moore_5;100;204;0.124624
./booyer_moore_5;100;209;0.119074
./booyer_moore_5;100;0;0.147268
./booyer_moore_5;100;0;0.116318
./booyer_moore_5;100;1;0.115461
./booyer_moore_5;100;0;0.114931
./booyer_moore_5;100;0;0.114572
./booyer_moore_5;100;0;0.0664473
./booyer_moore_5;100;0;0.0721813
./booyer_moore_5;100;0;0.0674641
./booyer_moore_5;100;0;0.0687435
./booyer_moore_5;100;0;0.0689325
